start time,end time,delta time
20150711 _ SX3 _  055957,1,NAN
5848,6548,700.0
20150711 _ SX3 _  113602,2,NAN
2275,7525,5250.0
7777,9399,1622.0
20150711 _ SX3 _  171207,2,NAN
2275,7525,5250.0
7777,9399,1622.0
20150727 _ SX3 _  060407,0,NAN
20150727 _ SX3 _  154928,0,NAN
20150727 _ SX3 _  192522,3,NAN
6154,7422,1268.0
7643,9151,1508.0
13353,15556,2203.0
20150811 _ SX3 _  061000,4,NAN
4483,7974,3491.0
10351,14238,3887.0
15546,17390,1844.0
17500,20071,2571.0
20150811 _ SX3 _  114605,6,
0,1864,1864.0
3133,6660,3527.0
6840,8571,1731.0
9595,10280,685.0
11621,16006,4385.0
18062,20076,2014.0
20150811 _ SX3 _  225815,2,
0,2725,2725.0
4121,5319,1198.0
20150814 _ SX3 _  051119,3,
8716,9471,755.0
10826,14325,3499.0
15835,19494,3659.0
20150814 _ SX3 _  104725,3,
363,5713,5350.0
6943,12763,5820.0
15440,19555,4115.0
20150814 _ SX3 _  162330,5,
1470,2319,849.0
2451,5541,3090.0
6865,11243,4378.0
12184,15747,3563.0
16579,20101,3522.0
20150814 _ SX3 _  215935,4,
2204,5870,3666.0
7367,8748,1381.0
11614,11913,299.0
12894,13182,288.0
20150815 _ SX3 _  073648,4,
8555,9260,705.0
10900,12293,1393.0
12494,16836,4342.0
18361,20119,1758.0
20150815 _ SX3 _  131253,8,
0,1708,1708.0
1829,3602,1773.0
4441,5127,686.0
7299,9570,2271.0
10468,12134,1666.0
13174,14003,829.0
15605,16644,1039.0
17027,19593,2566.0
20150815 _ SX3 _  184858,4,
490,2658,2168.0
2904,4578,1674.0
5362,8927,3565.0
10148,11042,894.0
20150817 _ XX3 _  082329,5,
4452,5170,718.0
8124,9416,1292.0
9653,13969,4316.0
15355,18836,3481.0
19062,20100,1038.0
20150817 _ XX3 _  135934,5,
0,719,719.0
1573,2272,699.0
4547,8093,3546.0
10295,14121,3826.0
15630,18291,2661.0
20150817 _ XX3 _  193539,5,
0,764,764.0
2784,6451,3667.0
7439,8311,872.0
12833,13246,413.0
